id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!In households:,Margin of Error!!Total:!!In households:,Estimate!!Total:!!In households:!!Householder:,Margin of Error!!Total:!!In households:!!Householder:,Estimate!!Total:!!In households:!!Householder:!!Male:,Margin of Error!!Total:!!In households:!!Householder:!!Male:,Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Estimate!!Total:!!In households:!!Householder:!!Female:,Margin of Error!!Total:!!In households:!!Householder:!!Female:,Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Estimate!!Total:!!In households:!!Opposite-sex spouse,Margin of Error!!Total:!!In households:!!Opposite-sex spouse,Estimate!!Total:!!In households:!!Same-sex spouse,Margin of Error!!Total:!!In households:!!Same-sex spouse,Estimate!!Total:!!In households:!!Opposite-sex unmarried partner,Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner,Estimate!!Total:!!In households:!!Same-sex unmarried partner,Margin of Error!!Total:!!In households:!!Same-sex unmarried partner,Estimate!!Total:!!In households:!!Child:,Margin of Error!!Total:!!In households:!!Child:,Estimate!!Total:!!In households:!!Child:!!Biological child,Margin of Error!!Total:!!In households:!!Child:!!Biological child,Estimate!!Total:!!In households:!!Child:!!Adopted child,Margin of Error!!Total:!!In households:!!Child:!!Adopted child,Estimate!!Total:!!In households:!!Child:!!Stepchild,Margin of Error!!Total:!!In households:!!Child:!!Stepchild,Estimate!!Total:!!In households:!!Grandchild,Margin of Error!!Total:!!In households:!!Grandchild,Estimate!!Total:!!In households:!!Brother or sister,Margin of Error!!Total:!!In households:!!Brother or sister,Estimate!!Total:!!In households:!!Parent,Margin of Error!!Total:!!In households:!!Parent,Estimate!!Total:!!In households:!!Parent-in-law,Margin of Error!!Total:!!In households:!!Parent-in-law,Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law,Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law,Estimate!!Total:!!In households:!!Other relatives,Margin of Error!!Total:!!In households:!!Other relatives,Estimate!!Total:!!In households:!!Foster child,Margin of Error!!Total:!!In households:!!Foster child,Estimate!!Total:!!In households:!!Other nonrelatives,Margin of Error!!Total:!!In households:!!Other nonrelatives,Estimate!!Total:!!In group quarters,Margin of Error!!Total:!!In group quarters
0400000US23,Maine,1344212,*****,1307006,*****,573618,4999,280117,4920,79611,3533,200506,5686,293501,5532,99328,5056,194173,5966,265588,6202,4089,956,48686,3358,1808,554,309073,7289,283992,7727,9416,1856,15665,2418,21108,2612,6160,1460,8327,1671,2287,793,5025,1097,8361,2250,2226,1050,50650,5531,37206,*****
0400000US24,Maryland,6045680,*****,5905181,*****,2226767,9709,1078108,12062,255813,8636,822295,11561,1148659,12858,371456,9561,777203,12669,1039644,12993,11307,2108,127763,6526,8506,1822,1787623,16299,1682241,17329,37202,4116,68180,6016,143698,9617,89260,8788,91481,7214,25792,2776,23516,2708,120033,9919,3359,1503,206432,10453,140499,*****
0400000US25,Massachusetts,6892503,*****,6646308,*****,2650680,9065,1274058,12782,311462,8921,962596,13478,1376622,12910,446341,10022,930281,13784,1220588,13165,18393,1850,177715,7545,11574,1971,1867307,17172,1758578,17373,50122,5427,58607,5485,123011,9507,70695,5958,85137,5974,22320,3095,25489,2920,73555,6454,3938,1363,295906,14135,246195,*****
0400000US26,Michigan,9986857,*****,9763358,*****,3969880,12901,2002066,12605,560309,8745,1441757,13095,1967814,12357,650279,10933,1317535,12896,1811424,15450,12652,1764,257270,7759,11421,1841,2856350,20464,2663194,20969,69536,5854,123620,6681,200716,10763,101178,6901,90542,6099,17557,1922,29346,2835,93711,6665,7656,1817,303655,11207,223499,*****
0400000US27,Minnesota,5639632,*****,5509065,*****,2222568,7740,1143361,9565,308931,7263,834430,9711,1079207,8676,344353,6792,734854,9485,1091733,9236,8861,1123,160397,5136,5495,1093,1588657,12201,1497434,12447,35995,3161,55228,3955,73352,5381,52785,4947,37530,3833,11472,1757,13705,2287,49625,5608,4199,1023,188686,9673,130567,*****
0400000US28,Mississippi,2976149,*****,2882767,*****,1100229,9887,510672,9184,150048,5480,360624,9885,589557,8164,183023,6626,406534,7811,478057,11023,2445,870,49327,4139,1480,710,893943,14762,821447,14689,19164,2945,53332,5690,135917,8562,38505,5462,29707,4297,4567,1462,15345,2532,45823,4962,3119,1392,84303,7474,93382,*****
0400000US29,Missouri,6137428,*****,5962950,*****,2458337,10406,1224632,11902,336825,7420,887807,12736,1233705,11572,406899,9494,826806,13025,1148934,12870,9926,1549,156865,6468,9465,1897,1668964,14893,1538407,16713,48262,4270,82295,7187,149909,8984,47840,4828,46239,4095,12862,2207,18305,2827,48471,4978,11007,2892,175826,10535,174478,*****
0400000US30,Montana,1068778,*****,1039835,*****,437651,4637,227176,4826,65220,3868,161956,5436,210475,4541,69086,3152,141389,4717,211746,5301,1156,541,29571,3093,473,334,267121,6744,244885,6375,11661,2128,10575,1922,21834,2687,8408,1938,5588,1443,1100,436,2906,758,12399,2789,2007,947,37875,4144,28943,*****
0400000US31,Nebraska,1934408,*****,1883396,*****,771444,4475,399083,5505,105900,3249,293183,6213,372361,5291,115665,3958,256696,5511,385796,6372,2503,656,52549,3731,1075,424,536554,7699,500741,7965,12463,1752,23350,2760,30400,3453,13771,2433,11634,1744,1518,730,3691,847,13037,2448,1835,614,57589,6233,51012,*****
0400000US32,Nevada,3080156,*****,3042493,*****,1143557,8281,585610,8402,165408,7069,420202,8742,557947,8740,160706,6063,397241,9581,498606,9019,6541,1261,85041,5545,4475,1043,867893,12318,813546,12429,15240,2717,39107,3884,74237,6716,57573,5162,71167,5918,14037,2205,18403,3020,62485,6458,3390,1534,135088,10011,37663,*****
